Model,Total Tests,Successful Builds,Build Success Rate
Gemini Pro,120,110,0.9166666666666666
Kimi K2,120,109,0.9083333333333332
Gemma3,120,93,0.775
Gemini Flash,120,87,0.725
**H2looP v0.1-multimodal**,120,86,0.7166666666666667
**H2LooP v0.1-coder**,120,74,0.6166666666666667
Qwen 2.5 Coder,120,72,0.6
Llama4 Maverick,120,44,0.3666666666666666
deepseek_coder_v2lite,120,43,0.3583333333333333
Llama3.3 8B,120,8,0.0666666666666666
Mistral Nemo,120,7,0.0583333333333333
