model,problem_type,problem_name,parallelism_model,response_time,total_tokens,prompt_tokens,source_write_success,did_build,is_source_valid,did_any_run,did_all_run,are_any_valid,are_all_valid,best_runtime,avg_runtime,speedup_2proc,speedup_4proc,num_successful_runs
Gemini Flash,sort,43_sort_sort_an_array_of_structs_by_key,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,sort,43_sort_sort_an_array_of_structs_by_key,serial,,,,True,True,True,True,True,True,True,0.003058475,0.003058475,,,1
Gemini Flash,sort,44_sort_sort_non-zero_elements,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,sort,44_sort_sort_non-zero_elements,serial,,,,True,True,True,True,True,True,True,0.0015786832,0.0015786832,,,1
Gemini Flash,sort,40_sort_sort_an_array_of_complex_numbers_by_magnitude,mpi,,,,True,True,True,True,True,True,False,0.0256112,0.0256112,,,1
Gemini Flash,sort,40_sort_sort_an_array_of_complex_numbers_by_magnitude,serial,,,,True,True,True,True,True,True,True,0.024374275,0.024374275,,,1
Gemini Flash,sort,42_sort_sorted_ranks,mpi,,,,True,True,True,True,True,True,True,0.0095596,0.0121534833333333,0.7134668776308326,0.7080110057361659,3
Gemini Flash,sort,42_sort_sorted_ranks,serial,,,,True,True,True,True,True,True,True,0.0089521666,0.0089521666,,,1
Gemini Flash,sparse_la,46_sparse_la_spmm,mpi,,,,True,True,True,True,True,True,True,0.01233075,0.01255185,1.0463161977407522,1.0501388804411735,3
Gemini Flash,sparse_la,46_sparse_la_spmm,serial,,,,True,True,True,True,True,True,True,0.0055370584,0.0055370584,,,1
Gemini Flash,sparse_la,47_sparse_la_spmv,mpi,,,,True,True,True,True,True,True,True,0.0011693,0.0014349,1.4926879329513385,1.2556834532374102,3
Gemini Flash,sparse_la,47_sparse_la_spmv,serial,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,sparse_la,48_sparse_la_sparse_axpy,mpi,,,,True,True,True,False,False,False,False,,,,,0
Gemini Flash,sparse_la,48_sparse_la_sparse_axpy,serial,,,,True,True,True,False,False,False,False,,,,,0
Gemini Flash,sparse_la,45_sparse_la_sparse_solve,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,sparse_la,45_sparse_la_sparse_solve,serial,,,,True,True,True,True,True,False,False,,,,,0
Gemini Flash,sparse_la,49_sparse_la_sparse_lu_decomp,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,sparse_la,49_sparse_la_sparse_lu_decomp,serial,,,,True,True,True,True,True,False,False,,,,,0
Gemini Flash,stencil,50_stencil_xor_kernel,mpi,,,,True,True,True,True,True,False,False,,,,,0
Gemini Flash,stencil,50_stencil_xor_kernel,serial,,,,True,True,True,True,True,False,False,,,,,0
Gemini Flash,stencil,51_stencil_edge_kernel,mpi,,,,True,True,True,True,True,True,True,0.03467545,0.05507395,1.3815034806847537,2.1839543538728408,3
Gemini Flash,stencil,51_stencil_edge_kernel,serial,,,,True,True,True,True,True,True,True,0.064943425,0.064943425,,,1
Gemini Flash,stencil,53_stencil_2d_jacobi_5-point_stencil,mpi,,,,True,True,True,True,True,True,True,0.02438225,0.0293337166666666,1.4627465402109745,1.5497503306708773,3
Gemini Flash,stencil,53_stencil_2d_jacobi_5-point_stencil,serial,,,,True,True,True,True,True,True,True,0.0222491998,0.0222491998,,,1
Gemini Flash,stencil,52_stencil_1d_jacobi_3-point_stencil,mpi,,,,True,True,True,True,True,True,True,0.0287174,0.04073715,0.5477649661907623,0.6992722964968692,3
Gemini Flash,stencil,52_stencil_1d_jacobi_3-point_stencil,serial,,,,True,True,True,True,True,True,True,0.0100566832,0.0100566832,,,1
Gemini Flash,stencil,54_stencil_game_of_life,mpi,,,,True,True,True,False,False,False,False,,,,,0
Gemini Flash,stencil,54_stencil_game_of_life,serial,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,histogram,20_histogram_pixel_histogram,mpi,,,,True,True,True,True,True,True,True,0.0013762,0.0017632333333333,1.6968463886063072,1.4795666223151491,3
Gemini Flash,histogram,20_histogram_pixel_histogram,serial,,,,True,True,True,True,True,True,True,0.0017305168,0.0017305168,,,1
Gemini Flash,histogram,24_histogram_count_quartile,mpi,,,,True,True,True,True,True,True,True,0.0479474,0.0912771333333333,1.6586849464694304,2.9391207865285707,3
