model,test_pass_rate,compile_rate,estimated_size_b,efficiency,performance_proximity,compile_proximity,model_type
Gemma-3 27B Instruct,46.728971962616825,71.02803738317756,27,1.7307026652821047,66.66666666666667,93.82716049382715,Large SOTA
H2looP v0.1-Multimodal,38.67924528301887,65.09433962264151,27,1.4325646401118102,55.182389937106926,85.98881900768694,H2looP
H2looP v0.1-Coder,44.85981308411215,69.1588785046729,32,1.4018691588785046,64.0,91.35802469135803,H2looP
Gemini 2.5 Flash,62.264150943396224,69.81132075471697,200,0.3113207547169811,88.83018867924528,92.21989284882366,Large SOTA
Kimi K2 Instruct,59.813084112149525,73.83177570093457,400,0.14953271028037382,85.33333333333333,97.53086419753086,Large SOTA
Llama-4 Maverick 400B,47.66355140186916,67.28971962616822,400,0.1191588785046729,68.0,88.88888888888889,Large SOTA
Gemini 2.5 Pro,70.09345794392523,75.70093457943925,1000,0.07009345794392523,100.0,100.0,Large SOTA
