model,count,mean,median,std,min,max
Deepseek Coder V2-lite,71,1.240933,1.071587,1.508463,0.0,6.601401
H2looP v0.1-Coder,74,1.552086,1.240625,1.899735,0.0,9.588044
H2looP v0.1-Multimodal,69,1.074865,0.742377,1.274644,0.0,5.729185
Mistral NeMo 12B,58,0.904082,0.0,1.373763,0.0,5.838057
