model,performance_metric,runtime,model_type
H2looP v0.1-Coder,1090.0254792503574,0.917409747786565,H2looP
H2looP v0.1-Coder,2403.729435568085,0.4160201997791258,H2looP
H2looP v0.1-Coder,1444.542524803468,0.6922606865699931,H2looP
H2looP v0.1-Coder,1631.7471972592907,0.6128400291905611,H2looP
H2looP v0.1-Coder,2213.4214585950576,0.45178924064228504,H2looP
H2looP v0.1-Coder,2121.2345150815677,0.4714235945578828,H2looP
H2looP v0.1-Coder,517.8904471982544,1.9309103023813619,H2looP
H2looP v0.1-Coder,1336.756814410264,0.748079223700213,H2looP
H2looP v0.1-Coder,1200.1372368413442,0.8332380408693194,H2looP
H2looP v0.1-Coder,934.2017358135682,1.0704326075022008,H2looP
H2looP v0.1-Coder,2867.750129552186,0.34870541533412996,H2looP
H2looP v0.1-Coder,970.903712450086,1.029968252440285,H2looP
H2looP v0.1-Coder,2822.6713840594266,0.3542743252534942,H2looP
H2looP v0.1-Coder,1433.033808849772,0.6978202424984323,H2looP
H2looP v0.1-Coder,2592.3318509313835,0.3857530815897339,H2looP
H2looP v0.1-Coder,1402.8069995507103,0.7128564373575831,H2looP
H2looP v0.1-Coder,1085.9146466172706,0.9208826891828901,H2looP
H2looP v0.1-Coder,2948.5945581033643,0.339144626463407,H2looP
H2looP v0.1-Coder,1695.991956025254,0.5896254380496069,H2looP
H2looP v0.1-Coder,1542.0684795597588,0.6484796319068058,H2looP
H2looP v0.1-Coder,1435.4618337556278,0.6966399081358225,H2looP
H2looP v0.1-Coder,2059.4577192601682,0.48556471475376356,H2looP
H2looP v0.1-Coder,1873.6402325690156,0.5337203923235914,H2looP
H2looP v0.1-Coder,1638.1986449961182,0.6104265823039852,H2looP
H2looP v0.1-Coder,1506.2471254435175,0.6639016819405036,H2looP
H2looP v0.1-Coder,2971.961685211958,0.3364780928959657,H2looP
H2looP v0.1-Coder,1837.180664621177,0.5443122819966092,H2looP
H2looP v0.1-Coder,1032.2182716898285,0.9687873460745038,H2looP
H2looP v0.1-Coder,2320.003205400697,0.43103388722572306,H2looP
H2looP v0.1-Coder,3056.4119535685127,0.3271810263771709,H2looP
H2looP v0.1-Coder,1008.8078342791122,0.9912690663376874,H2looP
H2looP v0.1-Coder,781.1528065757476,1.2801592615196358,H2looP
H2looP v0.1-Coder,601.8811146204929,1.6614576794464384,H2looP
H2looP v0.1-Coder,879.179002230634,1.137424799116928,H2looP
H2looP v0.1-Coder,1279.8268706330257,0.7813556840741919,H2looP
H2looP v0.1-Coder,1249.4939303082097,0.8003240157823995,H2looP
H2looP v0.1-Coder,1999.0031207106572,0.500249344105323,H2looP
H2looP v0.1-Coder,1686.373599311773,0.592988410402126,H2looP
H2looP v0.1-Coder,2923.7215867130276,0.3420298309334722,H2looP
H2looP v0.1-Coder,3737.3170324737043,0.26757162726923034,H2looP
H2looP v0.1-Coder,1168.7677573446013,0.8556019737162877,H2looP
H2looP v0.1-Coder,997.9663406047923,1.0020378035936315,H2looP
H2looP v0.1-Coder,12683.947296443568,0.07883981040195495,H2looP
H2looP v0.1-Coder,3621.5605483881536,0.2761240594044657,H2looP
H2looP v0.1-Coder,566.1155595606931,1.7664238036064617,H2looP
H2looP v0.1-Coder,492.80337629989714,2.0292068766011186,H2looP
