model,test_pass_rate,estimated_size_b,efficiency,model_type
H2looP v0.1-Coder,44.85981308411215,7,6.408544726301735,H2looP
H2looP v0.1-Multimodal,38.67924528301887,7,5.525606469002696,H2looP
Gemma-3 27B Instruct,46.728971962616825,27,1.7307026652821047,Large SOTA
Gemini 2.5 Flash,62.264150943396224,200,0.3113207547169811,Large SOTA
Kimi K2 Instruct,59.813084112149525,400,0.14953271028037382,Large SOTA
Llama-4 Maverick 400B,47.66355140186916,400,0.1191588785046729,Large SOTA
Gemini 2.5 Pro,70.09345794392523,1000,0.07009345794392523,Large SOTA
