model,weighted_performance,functional_passes,runtime,model_type
H2looP v0.1-Coder,0.0,0,0.917409747786565,H2looP
H2looP v0.1-Coder,2.403729435568085,1,0.4160201997791258,H2looP
H2looP v0.1-Coder,1.444542524803468,1,0.6922606865699931,H2looP
H2looP v0.1-Coder,1.6317471972592907,1,0.6128400291905611,H2looP
H2looP v0.1-Coder,2.2134214585950573,1,0.45178924064228504,H2looP
H2looP v0.1-Coder,2.1212345150815675,1,0.4714235945578828,H2looP
H2looP v0.1-Coder,0.0,0,1.9309103023813619,H2looP
H2looP v0.1-Coder,1.3367568144102642,1,0.748079223700213,H2looP
H2looP v0.1-Coder,0.0,0,0.8332380408693194,H2looP
H2looP v0.1-Coder,0.0,0,1.0704326075022008,H2looP
H2looP v0.1-Coder,2.867750129552186,1,0.34870541533412996,H2looP
H2looP v0.1-Coder,0.0,0,1.029968252440285,H2looP
H2looP v0.1-Coder,2.8226713840594266,1,0.3542743252534942,H2looP
H2looP v0.1-Coder,1.433033808849772,1,0.6978202424984323,H2looP
H2looP v0.1-Coder,2.5923318509313837,1,0.3857530815897339,H2looP
H2looP v0.1-Coder,0.0,0,0.7128564373575831,H2looP
H2looP v0.1-Coder,1.0859146466172707,1,0.9208826891828901,H2looP
H2looP v0.1-Coder,2.948594558103364,1,0.339144626463407,H2looP
H2looP v0.1-Coder,1.695991956025254,1,0.5896254380496069,H2looP
H2looP v0.1-Coder,1.5420684795597588,1,0.6484796319068058,H2looP
H2looP v0.1-Coder,0.0,0,0.6966399081358225,H2looP
H2looP v0.1-Coder,2.059457719260168,1,0.48556471475376356,H2looP
H2looP v0.1-Coder,0.0,0,0.5337203923235914,H2looP
H2looP v0.1-Coder,1.6381986449961183,1,0.6104265823039852,H2looP
H2looP v0.1-Coder,1.5062471254435175,1,0.6639016819405036,H2looP
H2looP v0.1-Coder,2.971961685211958,1,0.3364780928959657,H2looP
H2looP v0.1-Coder,0.0,0,0.5443122819966092,H2looP
H2looP v0.1-Coder,1.0322182716898285,1,0.9687873460745038,H2looP
H2looP v0.1-Coder,0.0,0,0.43103388722572306,H2looP
H2looP v0.1-Coder,3.056411953568513,1,0.3271810263771709,H2looP
H2looP v0.1-Coder,0.0,0,0.9912690663376874,H2looP
H2looP v0.1-Coder,0.7811528065757477,1,1.2801592615196358,H2looP
H2looP v0.1-Coder,0.601881114620493,1,1.6614576794464384,H2looP
H2looP v0.1-Coder,0.8791790022306339,1,1.137424799116928,H2looP
H2looP v0.1-Coder,1.2798268706330256,1,0.7813556840741919,H2looP
H2looP v0.1-Coder,0.0,0,0.8003240157823995,H2looP
H2looP v0.1-Coder,1.999003120710657,1,0.500249344105323,H2looP
H2looP v0.1-Coder,1.6863735993117728,1,0.592988410402126,H2looP
H2looP v0.1-Coder,2.9237215867130275,1,0.3420298309334722,H2looP
H2looP v0.1-Coder,3.737317032473704,1,0.26757162726923034,H2looP
H2looP v0.1-Coder,0.0,0,0.8556019737162877,H2looP
H2looP v0.1-Coder,0.0,0,1.0020378035936315,H2looP
H2looP v0.1-Coder,0.0,0,0.07883981040195495,H2looP
H2looP v0.1-Coder,0.0,0,0.2761240594044657,H2looP
H2looP v0.1-Coder,0.5661155595606931,1,1.7664238036064617,H2looP
H2looP v0.1-Coder,0.0,0,2.0292068766011186,H2looP
H2looP v0.1-Coder,0.0,0,2.4166569452110624,H2looP
H2looP v0.1-Coder,0.5480083882746881,1,1.8247895860651535,H2looP
H2looP v0.1-Coder,0.0,0,2.744573753890149,H2looP
H2looP v0.1-Coder,0.0,0,1.187420980132535,H2looP
H2looP v0.1-Coder,1.341632292689157,1,0.7453607113135359,H2looP
H2looP v0.1-Coder,2.1912981077157254,1,0.45635050588458265,H2looP
H2looP v0.1-Coder,0.831374041787347,1,1.2028280289460673,H2looP
H2looP v0.1-Coder,0.3861663054681176,1,2.5895578817726794,H2looP
H2looP v0.1-Coder,4.779113786492694,1,0.20924381478974624,H2looP
H2looP v0.1-Coder,8.559502053640362,1,0.11682922601492915,H2looP
H2looP v0.1-Coder,0.9911233258237403,1,1.0089561752256029,H2looP
H2looP v0.1-Coder,1.2014228350606944,1,0.8323464236048762,H2looP
H2looP v0.1-Coder,2.05179875963318,1,0.487377231955623,H2looP
H2looP v0.1-Coder,1.589637104021956,1,0.6290743953257574,H2looP
H2looP v0.1-Coder,1.5826452020351907,1,0.6318535567631062,H2looP
H2looP v0.1-Coder,0.0,0,0.331330188571,H2looP
H2looP v0.1-Coder,3.615496155897129,1,0.2765872115142287,H2looP
H2looP v0.1-Coder,3.4070377058808146,1,0.2935101065285898,H2looP
H2looP v0.1-Coder,0.0,0,0.04164143152965168,H2looP
H2looP v0.1-Coder,0.0,0,0.2911278938647735,H2looP
H2looP v0.1-Coder,4.101182797155325,1,0.24383209660725752,H2looP
H2looP v0.1-Coder,0.0,0,0.890848972873714,H2looP
H2looP v0.1-Coder,0.0,0,0.3005859088489134,H2looP
H2looP v0.1-Coder,2.088463392714767,1,0.4788209376751932,H2looP
H2looP v0.1-Coder,6.80525283631365,1,0.14694531181323336,H2looP
H2looP v0.1-Coder,4.336285566975971,1,0.2306121182644753,H2looP
H2looP v0.1-Coder,9.588043592275914,1,0.10429656377507457,H2looP
H2looP v0.1-Coder,0.0,0,0.2158299806756565,H2looP
H2looP v0.1-Multimodal,0.0,0,1.855303214159779,H2looP
H2looP v0.1-Multimodal,0.7105565293978751,1,1.4073475629692673,H2looP
H2looP v0.1-Multimodal,0.0,0,0.7885916602455011,H2looP
H2looP v0.1-Multimodal,1.499295041962148,1,0.6669801286685283,H2looP
H2looP v0.1-Multimodal,2.9266702552803845,1,0.34168523023588687,H2looP
H2looP v0.1-Multimodal,0.0,0,0.6720679221138233,H2looP
H2looP v0.1-Multimodal,0.0,0,0.6522100820963062,H2looP
H2looP v0.1-Multimodal,2.3130424325304078,1,0.43233102252517963,H2looP
H2looP v0.1-Multimodal,2.183070915553155,1,0.4580703232659834,H2looP
H2looP v0.1-Multimodal,0.0,0,1.6134340727688905,H2looP
H2looP v0.1-Multimodal,1.672514054419464,1,0.5979023000479979,H2looP
H2looP v0.1-Multimodal,0.7423767434388393,1,1.3470249557762244,H2looP
H2looP v0.1-Multimodal,2.5573663965107425,1,0.39102726983681135,H2looP
H2looP v0.1-Multimodal,0.0,0,1.90085239662786,H2looP
H2looP v0.1-Multimodal,3.4316290746744595,1,0.29140678617628996,H2looP
H2looP v0.1-Multimodal,1.7843269879309827,1,0.5604353948373277,H2looP
H2looP v0.1-Multimodal,1.2226502849984018,1,0.817895364087129,H2looP
H2looP v0.1-Multimodal,1.667017122982112,1,0.5998738622499024,H2looP
H2looP v0.1-Multimodal,1.2213945168618126,1,0.8187362774227511,H2looP
H2looP v0.1-Multimodal,1.8384274112429744,1,0.5439431515677263,H2looP
H2looP v0.1-Multimodal,0.0,0,0.6267130028438157,H2looP
H2looP v0.1-Multimodal,2.234890736152763,1,0.4474491677930721,H2looP
H2looP v0.1-Multimodal,2.043604165196193,1,0.4893315530622813,H2looP
H2looP v0.1-Multimodal,2.044814774766834,1,0.4890418498242844,H2looP
H2looP v0.1-Multimodal,0.0,0,1.5507406765417786,H2looP
H2looP v0.1-Multimodal,3.1317476602005576,1,0.31931052833802065,H2looP
H2looP v0.1-Multimodal,0.0,0,1.3541511635163392,H2looP
H2looP v0.1-Multimodal,0.0,0,1.3946546058521982,H2looP
H2looP v0.1-Multimodal,0.0,0,1.185990325901428,H2looP
H2looP v0.1-Multimodal,0.0,0,1.8047152488051779,H2looP
H2looP v0.1-Multimodal,0.5658955329790594,1,1.7671106091537294,H2looP
H2looP v0.1-Multimodal,1.058700346144884,1,0.9445543336614242,H2looP
H2looP v0.1-Multimodal,1.0602342790158128,1,0.9431877649987636,H2looP
H2looP v0.1-Multimodal,0.7769363373929937,1,1.2871067446214388,H2looP
H2looP v0.1-Multimodal,0.0,0,1.2284683913448566,H2looP
H2looP v0.1-Multimodal,0.0,0,0.47051454997427444,H2looP
H2looP v0.1-Multimodal,0.0,0,0.4062088080972569,H2looP
H2looP v0.1-Multimodal,0.0,0,0.8407448174310842,H2looP
H2looP v0.1-Multimodal,0.0,0,0.9458477944549292,H2looP
H2looP v0.1-Multimodal,0.0,0,0.30577381179849444,H2looP
H2looP v0.1-Multimodal,0.0,0,0.2504551685400227,H2looP
H2looP v0.1-Multimodal,0.0,0,0.48883691103213966,H2looP
H2looP v0.1-Multimodal,0.2530202833773648,1,3.9522523121538007,H2looP
H2looP v0.1-Multimodal,0.0,0,2.903080864984032,H2looP
H2looP v0.1-Multimodal,0.4782453485629614,1,2.090976949393893,H2looP
H2looP v0.1-Multimodal,0.5807835412970835,1,1.7218118780822647,H2looP
H2looP v0.1-Multimodal,1.075791817068612,1,0.9295478773252481,H2looP
H2looP v0.1-Multimodal,0.9526357158010663,1,1.0497191984441874,H2looP
H2looP v0.1-Multimodal,0.8182968955238388,1,1.2220503407382997,H2looP
H2looP v0.1-Multimodal,1.5109184833294975,1,0.6618490746081649,H2looP
H2looP v0.1-Multimodal,5.729184786990585,1,0.17454490249131555,H2looP
H2looP v0.1-Multimodal,1.119779671881432,1,0.8930328216441182,H2looP
H2looP v0.1-Multimodal,0.741575057364935,1,1.3484811686538318,H2looP
H2looP v0.1-Multimodal,1.5907284267550312,1,0.6286428174543447,H2looP
H2looP v0.1-Multimodal,1.998152251219918,1,0.5004623643616131,H2looP
H2looP v0.1-Multimodal,1.6417023806382647,1,0.6091238045297941,H2looP
H2looP v0.1-Multimodal,0.0,0,0.6541427822977673,H2looP
H2looP v0.1-Multimodal,2.0936016163286135,1,0.4776457909664888,H2looP
H2looP v0.1-Multimodal,1.3347929890986043,1,0.749179841493854,H2looP
H2looP v0.1-Multimodal,0.0,0,0.20576085989131884,H2looP
H2looP v0.1-Multimodal,0.0,0,0.35161579481261535,H2looP
H2looP v0.1-Multimodal,1.6753680559736326,1,0.5968837691720549,H2looP
H2looP v0.1-Multimodal,0.0,0,1.0606538900455527,H2looP
H2looP v0.1-Multimodal,0.0,0,0.24977872890825012,H2looP
H2looP v0.1-Multimodal,2.651746880718393,1,0.3771098996179782,H2looP
H2looP v0.1-Multimodal,4.210601953935593,1,0.23749573361246207,H2looP
H2looP v0.1-Multimodal,0.0,0,0.29142840450156454,H2looP
H2looP v0.1-Multimodal,5.021572052872195,1,0.1991408247200254,H2looP
H2looP v0.1-Multimodal,0.0,0,0.16439075397143962,H2looP
Mistral NeMo 12B,0.0,0,1.1184134085750876,Similar-sized
Mistral NeMo 12B,1.1793365258877713,1,0.8479343919643532,Similar-sized
Mistral NeMo 12B,2.274101937751529,1,0.4397340257265377,Similar-sized
Mistral NeMo 12B,2.573640396753299,1,0.3885546719197915,Similar-sized
Mistral NeMo 12B,0.0,0,0.6511296594904693,Similar-sized
Mistral NeMo 12B,0.0,0,0.4254415504644634,Similar-sized
Mistral NeMo 12B,0.0,0,0.6824640550576929,Similar-sized
Mistral NeMo 12B,0.0,0,1.367519406154952,Similar-sized
Mistral NeMo 12B,2.8163285874056156,1,0.35507220445508947,Similar-sized
Mistral NeMo 12B,2.4125639891126154,1,0.4144967779146111,Similar-sized
Mistral NeMo 12B,2.6862302061361945,1,0.3722689134072298,Similar-sized
Mistral NeMo 12B,0.0,0,0.7140430206197528,Similar-sized
Mistral NeMo 12B,1.7657138928057303,1,0.5663431680944605,Similar-sized
Mistral NeMo 12B,0.0,0,0.6281901266639672,Similar-sized
Mistral NeMo 12B,0.0,0,0.364237013300507,Similar-sized
Mistral NeMo 12B,2.2815251084088226,1,0.4383033069916194,Similar-sized
Mistral NeMo 12B,0.0,0,0.8590027376613003,Similar-sized
Mistral NeMo 12B,0.0,0,0.2544728817924273,Similar-sized
Mistral NeMo 12B,0.0,0,0.567738493900046,Similar-sized
Mistral NeMo 12B,0.0,0,0.7232651231412561,Similar-sized
Mistral NeMo 12B,0.0,0,0.5049793646384779,Similar-sized
Mistral NeMo 12B,0.0,0,0.9075306307513041,Similar-sized
Mistral NeMo 12B,0.0,0,0.6588168823622406,Similar-sized
Mistral NeMo 12B,2.0424727861670298,1,0.48960260659170507,Similar-sized
Mistral NeMo 12B,0.0,0,0.9240942923725312,Similar-sized
Mistral NeMo 12B,0.0,0,0.5890274698497078,Similar-sized
Mistral NeMo 12B,1.2005619094639035,1,0.8329433010635311,Similar-sized
Mistral NeMo 12B,0.0,0,0.7192085029003016,Similar-sized
Mistral NeMo 12B,0.0,0,0.6971067427583185,Similar-sized
Mistral NeMo 12B,0.0,0,0.7572887442819359,Similar-sized
Mistral NeMo 12B,0.0,0,0.13637197761857267,Similar-sized
Mistral NeMo 12B,0.0,0,0.15977305870168723,Similar-sized
Mistral NeMo 12B,0.8411517362463825,1,1.1888461461929256,Similar-sized
Mistral NeMo 12B,0.0,0,0.6974658152426358,Similar-sized
Mistral NeMo 12B,1.445247259815535,1,0.6919231247168292,Similar-sized
Mistral NeMo 12B,2.486338249619719,1,0.40219789087544633,Similar-sized
Mistral NeMo 12B,0.0,0,0.481201933655259,Similar-sized
Mistral NeMo 12B,1.7247263593161015,1,0.5798021202601239,Similar-sized
Mistral NeMo 12B,2.091882745746641,1,0.4780382657839061,Similar-sized
Mistral NeMo 12B,5.838056861078166,1,0.17128986986524847,Similar-sized
Mistral NeMo 12B,1.520302961420245,1,0.6577636335496015,Similar-sized
Mistral NeMo 12B,1.2523090375615387,1,0.798524940734415,Similar-sized
Mistral NeMo 12B,1.1619684621696893,1,0.8606085557027484,Similar-sized
Mistral NeMo 12B,1.76576453035931,1,0.566326926839171,Similar-sized
Mistral NeMo 12B,0.0,0,0.293693627146635,Similar-sized
Mistral NeMo 12B,3.4412400405591024,1,0.2905929223808313,Similar-sized
Mistral NeMo 12B,0.0,0,0.3613777084855874,Similar-sized
Mistral NeMo 12B,0.0,0,0.26956724297614276,Similar-sized
Mistral NeMo 12B,0.0,0,0.26421635225571927,Similar-sized
Mistral NeMo 12B,1.9283968921778858,1,0.5185654488742842,Similar-sized
Mistral NeMo 12B,0.0,0,1.1481211382818908,Similar-sized
Mistral NeMo 12B,0.0,0,0.3859420396379044,Similar-sized
Mistral NeMo 12B,0.0,0,0.22602407041374248,Similar-sized
